               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10808,            0.066401,            0.091725,           0.0037387,             0.23814,           0.0079438,           0.0023463,            0.092795,            0.051463,            0.090121,              0.0024,              0.0024,              0.0784
                   1,             0.08788,            0.058232,            0.083537,          0.00056296,            0.056823,          0.00064288,          0.00013219,            0.093988,            0.080376,            0.092301,           0.0048677,           0.0048677,            0.055868
                   2,            0.093362,            0.052006,            0.077124,             0.93871,            0.034694,           0.0090802,           0.0022011,            0.084009,            0.037504,            0.083306,           0.0073023,           0.0073023,            0.033302
                   3,            0.093075,            0.048152,            0.074984,             0.96759,            0.036735,            0.062721,            0.017836,            0.079576,            0.036815,            0.079701,            0.009704,            0.009704,            0.010704
                   4,            0.087026,            0.046859,            0.073331,            0.017892,             0.45107,            0.060044,            0.014263,            0.083988,            0.034737,            0.079029,            0.009736,            0.009736,            0.009736
                   5,            0.077515,            0.045247,            0.071217,            0.016812,             0.49624,            0.099966,            0.027569,             0.07208,            0.049703,            0.077048,            0.009736,            0.009736,            0.009736
                   6,            0.071289,             0.04712,            0.069635,             0.92721,            0.085417,            0.077947,            0.027728,            0.073365,            0.036995,             0.07397,             0.00967,             0.00967,             0.00967
                   7,            0.067111,            0.043938,            0.068452,               0.785,             0.13472,             0.15903,            0.065959,            0.056727,            0.031577,            0.072371,            0.009604,            0.009604,            0.009604
                   8,            0.061615,            0.041307,            0.067874,             0.96222,            0.083333,             0.13271,            0.052495,             0.05945,            0.027685,             0.07096,            0.009538,            0.009538,            0.009538
                   9,            0.059887,            0.041052,             0.06653,             0.92888,            0.094727,             0.16322,             0.07642,            0.050834,            0.027928,            0.070654,            0.009472,            0.009472,            0.009472
                  10,            0.057023,            0.039346,            0.065545,              0.9548,            0.096217,             0.17629,            0.089666,            0.048365,            0.025858,            0.069949,            0.009406,            0.009406,            0.009406
                  11,            0.057088,            0.038691,            0.065292,             0.94523,            0.097647,             0.17825,            0.074226,            0.052642,            0.025506,            0.069489,             0.00934,             0.00934,             0.00934
                  12,            0.053335,            0.037088,            0.064696,             0.95936,            0.089604,               0.183,            0.078782,            0.051297,            0.026418,            0.069287,            0.009274,            0.009274,            0.009274
                  13,            0.051648,            0.036808,            0.064002,             0.98543,            0.095874,             0.17498,             0.12084,            0.038373,            0.025478,            0.068834,            0.009208,            0.009208,            0.009208
                  14,            0.049614,            0.035905,            0.063953,             0.96757,            0.098956,              0.1634,             0.10244,            0.040929,            0.023441,            0.068367,            0.009142,            0.009142,            0.009142
                  15,            0.050551,            0.035781,            0.063437,             0.96863,            0.092818,             0.15439,            0.061848,            0.049287,             0.02372,            0.068087,            0.009076,            0.009076,            0.009076
                  16,            0.051228,            0.035386,            0.063228,             0.98675,            0.097249,             0.16784,             0.11448,            0.038326,            0.022483,            0.068023,             0.00901,             0.00901,             0.00901
                  17,            0.047408,            0.034915,            0.062893,             0.98682,            0.096068,             0.17546,             0.10996,            0.038206,            0.023725,            0.067865,            0.008944,            0.008944,            0.008944
                  18,            0.046074,            0.035988,            0.062187,             0.99481,            0.095833,              0.1775,             0.12604,            0.037377,            0.021965,            0.067706,            0.008878,            0.008878,            0.008878
                  19,            0.046938,            0.034039,            0.062487,             0.99415,            0.098235,             0.16895,             0.11385,            0.037128,            0.021553,             0.06748,            0.008812,            0.008812,            0.008812
                  20,            0.045755,            0.032329,            0.062342,             0.96538,                 0.1,             0.17458,             0.10348,            0.038919,            0.021889,            0.067447,            0.008746,            0.008746,            0.008746
                  21,            0.047392,            0.034226,             0.06177,             0.96434,            0.099661,             0.17103,             0.13029,            0.032454,             0.01995,            0.067081,             0.00868,             0.00868,             0.00868
                  22,            0.045655,             0.03359,            0.061535,             0.96132,             0.09899,             0.18177,             0.12524,            0.036854,            0.021586,             0.06705,            0.008614,            0.008614,            0.008614
                  23,            0.047472,             0.03315,            0.061251,             0.96345,            0.096897,             0.18067,             0.10928,            0.039696,            0.021194,            0.066678,            0.008548,            0.008548,            0.008548
                  24,            0.044941,            0.033141,            0.061107,             0.99495,            0.098751,             0.18518,             0.13306,             0.03507,             0.02099,            0.066649,            0.008482,            0.008482,            0.008482
                  25,             0.04326,            0.031866,            0.060894,             0.99396,            0.097825,              0.1754,             0.11537,            0.036818,            0.020514,            0.066531,            0.008416,            0.008416,            0.008416
                  26,            0.043727,             0.03347,            0.060432,             0.99789,             0.09974,             0.18154,             0.12582,            0.033795,            0.020584,            0.066533,             0.00835,             0.00835,             0.00835
                  27,            0.043359,            0.032134,            0.060455,             0.99795,            0.098536,             0.18511,             0.14135,            0.034387,            0.020683,            0.066408,            0.008284,            0.008284,            0.008284
                  28,             0.04416,            0.032783,            0.060272,             0.99722,                 0.1,             0.18276,             0.12502,            0.036872,            0.021265,            0.066133,            0.008218,            0.008218,            0.008218
                  29,            0.041346,            0.032236,            0.059937,             0.99613,            0.097917,             0.17963,             0.13489,            0.031332,            0.021204,            0.066056,            0.008152,            0.008152,            0.008152
                  30,            0.041259,            0.030986,            0.060073,             0.99716,            0.098795,             0.18636,             0.15554,            0.030008,            0.018534,            0.065527,            0.008086,            0.008086,            0.008086
                  31,            0.041553,            0.030608,            0.059623,             0.99672,            0.097214,             0.18801,             0.13701,            0.035928,            0.020642,            0.065484,             0.00802,             0.00802,             0.00802
                  32,            0.041367,            0.030428,            0.059718,              0.9164,                0.13,             0.18692,             0.13935,             0.03492,            0.020141,            0.065395,            0.007954,            0.007954,            0.007954
                  33,            0.042654,             0.03088,            0.059598,             0.93195,             0.13222,             0.19108,             0.15928,            0.028969,            0.018487,            0.065031,            0.007888,            0.007888,            0.007888
                  34,            0.040105,            0.029644,            0.059201,             0.92379,             0.12806,             0.19089,             0.13935,            0.032283,            0.019097,            0.064959,            0.007822,            0.007822,            0.007822
                  35,              0.0409,            0.030168,            0.059193,             0.91045,              0.1475,             0.18818,             0.13955,            0.033466,            0.019878,            0.064794,            0.007756,            0.007756,            0.007756
                  36,            0.041717,            0.030139,            0.059066,             0.92789,             0.11383,             0.19325,             0.13747,            0.034079,            0.019716,            0.064557,             0.00769,             0.00769,             0.00769
                  37,            0.042129,             0.03133,             0.05867,             0.94228,             0.11922,             0.20551,             0.13717,            0.037319,            0.020494,            0.064443,            0.007624,            0.007624,            0.007624
                  38,            0.041543,            0.030567,            0.058292,             0.94928,                0.12,             0.21575,             0.16084,            0.030774,             0.01924,            0.064419,            0.007558,            0.007558,            0.007558
                  39,            0.040095,            0.028515,            0.058293,             0.95517,             0.13083,             0.23068,              0.1638,            0.035515,            0.020503,            0.064226,            0.007492,            0.007492,            0.007492
